Title,Author,My Rating,Binding,Date Read,Status,Genre,Read Count,Number of Pages
"Winter (The Lunar Chronicles, #4)",Marissa Meyer,5,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,827
"Cress (The Lunar Chronicles, #3)",Marissa Meyer,5,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,552
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,5,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,454
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,5,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,390
Mission: Her Protection,Anna Hackett,2,ebook,"February 25, 2025 → February 26, 2025",read,"Adult, contemporary, fiction, mystery, romance",1,203
Mission: Her Rescue,Anna Hackett,2.5,ebook,"February 26, 2025 → February 28, 2025",read,"Adult, contemporary, fiction, mystery, romance",1,284
The Iliad,"Homer, Emily Wilson (Translator)",,Hardcover,"March 3, 2025",currently-reading,"classics, fantasy, fiction, historical, mythology, poetry",0,848
Wings so Wicked,Emily Blackwood,2,ebook,"March 8, 2025 → March 11, 2025",read,"Adult, fantasy, fiction, romance",1,381
Black Knight,Rina Kent,2,ebook,"March 29, 2025 → March 30, 2025",,"Adult, contemporary, dark, fiction, romance",1,326
Sword Catcher,Cassandra Clare,3.5,ebook,"March 13, 2025 → March 21, 2025",,"YA, fantasy, fiction, romance",1,624
The Ragpicker King,Cassandra Clare,5,ebook,"April 2, 2025 → April 8, 2025","read, ♡","YA, fantasy, fiction, romance",1,480
"Fearless (Powerless Trilogy, #3)",Lauren Roberts,3,ebook,"April 8, 2025 → April 13, 2025",read,"YA, fantasy, fiction, romance",1,608
Seven Sleepless Nights,Chloe Walsh,3,ebook,"April 26, 2025",read,"Adult, contemporary, fiction, romance, sports",1,272
Days at the Morisaki Bookshop,"Satoshi Yagisawa, Eric Ozawa (Translator)",3.5,ebook,"May 1, 2025 → May 3, 2025",read,"contemporary, fiction, literary fiction, romance",1,150
On Wings of Blood (Bloodwing Academy #1),Briar Boleyn,3,ebook,"May 3, 2025 → May 9, 2025",read,"Adult, fantasy, fiction, romance",1,523
Silver Elite,Dani Francis,2,ebook,"May 9, 2025 → May 13, 2025",read,"Adult, fantasy, fiction, romance, science fiction",1,528
The Bond that Burns (Bloodwing Academy #2),Briar Boleyn,3,ebook,"May 13, 2025 → May 18, 2025",read,"Adult, fantasy, fiction, romance",1,395
Releasing 10 (Boys of Tommen #6),Chloe Walsh,3.5,ebook,"May 27, 2025 → June 13, 2025",read,"Adult, contemporary, fiction, romance, sports",1,765
The Rose Bargain,Sasha Peyton Smith,2,ebook,"June 14, 2025 → June 19, 2025",read,"YA, fantasy, fiction, historical, romance",1,389
Power Play (D.C. Stars #2),Chelsea Curto,3,ebook,"June 19, 2025 → June 22, 2025",read,"Adult, contemporary, fiction, romance, sports",1,514
Grand Prix: An Illustrated History of Formula 1,Will Buxton,3,ebook,"June 23, 2025 → August 1, 2025",read,"historical, nonfiction, sports",1,240
Rose in Chains,Julie Soto,4.25,ebook,"July 14, 2025 → July 17, 2025",read,"Adult, dark, fantasy, fiction, romance",1,464
"Two Twisted Crowns (The Shepherd King, #1)",Rachel Gillig,4,ebook,"August 15, 2025 → August 20, 2025",read,"YA, fantasy, fiction, gothic, romance",1,437
Face Off (D.C. Stars #1),Chelsea Curto,3.5,ebook,"May 18, 2025 → May 21, 2025",read,"Adult, contemporary, fiction, romance, sports",1,450
Slap Shot (D.C. Stars #3),Chelsea Curto,2,ebook,"August 28, 2025 → September 3, 2025",read,"Adult, contemporary, fiction, romance, sports",1,530
Hat Trick (D.C. Stars #4),Chelsea Curto,,ebook,,,"Adult, contemporary, fiction, romance, sports",,506
Hotel Magnifique,Emily J. Taylor,2,Audiobook,"September 10, 2025 → September 19, 2025",read,"YA, fantasy, fiction, historical, mystery, romance",1,400
"Fetishized: A Reckoning with Yellow Fever, Feminism, and Beauty",Kaila Yu,,ebook,"September 9, 2025",currently-reading,"memoir, nonfiction",1,256
People We Meet on Vacation,Emily Henry,4,Audiobook,"October 22, 2025 → October 23, 2025",read,"Adult, contemporary, fiction, romance",1,364
Happy Place,Emily Henry,3,Audiobook,"October 24, 2025 → October 25, 2025",read,"Adult, contemporary, fiction, romance",1,400
Every Spiral of Fate (This Woven Kingdom #4),Tahereh Mafi,,,,,"YA, fantasy, fiction, romance",,480
A Study In Drowning,Ava Reid,2,Audiobook,"October 31, 2025 → November 2, 2025",read,"YA, fantasy, fiction, gothic, mystery, romance",1,378
The Ballad of Singbirds and Snakes (The Hunger Games #0),Suzanne Collins,,Audiobook,"November 5, 2025",currently-reading,"YA, dystopia, fantasy, fiction, romance, science fiction",1,541
