Title,Author,My Rating,Binding,Date Read,Status,Genre,Read Count,Number of Pages
"Six Scorched Roses (Crowns of Nyaxia, #1.5)",Carissa Broadbent,4,ebook,"August 1, 2023",read,"Adult, fantasy, fiction, romance",1,187
Out on a Limb,Hannah Bonam-Young,0,ebook,,,,0,397
If You Could See the Sun,Ann Liang,0,Hardcover,,,,0,345
"Caraval (Caraval, #1)",Stephanie Garber,3,ebook,"August 30, 2019",read,"YA, fantasy, fiction, mystery, romance",1,407
"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,3,Paperback,"June 26, 2021",dnf,,1,645
"The Ashes & the Star-Cursed King (Crowns of Nyaxia, #2)",Carissa Broadbent,4,ebook,"July 28, 2023",read,"Adult, fantasy, fiction, romance",1,618
"All This Twisted Glory (This Woven Kingdom, #3)",Tahereh Mafi,0,Hardcover,,,,0,397
"These Infinite Threads (This Woven Kingdom, #2)",Tahereh Mafi,3,ebook,"July 23, 2023",read,"YA, fantasy, fiction, romance",1,416
"All In (Full Tilt, #2)",Emma   Scott,0,,,,,0,296
"Full Tilt (Full Tilt, #1)",Emma  Scott,5,ebook,"July 19, 2023",read,"Adult, contemporary, fiction, romance",1,292
"King's Bride (Chronicles of Urn, #1)",Beck Michaels,0,Hardcover,,,,0,417
"Juniper Hill (The Edens, #2)",Devney Perry,0,,,,,0,326
"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,3,ebook,"June 1, 2022",read,"Adult, fiction, historical, romance",1,480
"The Queen's Assassin (The Queen's Secret, #1)",Melissa de la Cruz,3,ebook,"March 9, 2022",read,"YA, fantasy, fiction, romance",1,384
"A Lie for a Lie (All In, #1)",Helena Hunting,3,ebook,"February 21, 2022",read,"Adult, contemporary, romance, sports",1,285
"The Awakening as Told by the Boys (Zodiac Academy, #1.5)",Caroline Peckham,3,ebook,"April 24, 2022",read,"Adult, fantasy, fiction, romance",1,534
"The Reckoning (Zodiac Academy, #3)",Caroline Peckham,4,ebook,"January 29, 2022",read,"Adult, fantasy, fiction, romance",1,561
"Ruthless Fae (Zodiac Academy, #2)",Caroline Peckham,4,ebook,"January 27, 2022",read,"Adult, fantasy, fiction, romance",1,475
